tweet_id,favorite_count,retweet_count,source
817415592588222464,6267,1131,Twitter for iPhone
817181837579653120,0,9907,Twitter for iPhone
817171292965273600,9690,2326,Twitter for iPhone
817120970343411712,13367,3011,Twitter for iPhone
817056546584727552,9517,1927,Twitter for iPhone
816829038950027264,0,5496,Twitter for iPhone
816816676327063552,11071,2361,Twitter for iPhone
816697700272001025,10905,2545,Twitter for iPhone
816450570814898180,33961,9366,Twitter for iPhone
816336735214911488,9564,2269,Twitter for iPhone
816091915477250048,9927,2500,Twitter for iPhone
816062466425819140,0,1207,Twitter for iPhone
816014286006976512,0,6154,Twitter for iPhone
815990720817401858,5545,1207,Twitter for iPhone
815966073409433600,25057,9907,Twitter for iPhone
815745968457060357,0,4797,Twitter for iPhone
815736392542261248,10937,2625,Twitter for iPhone
815639385530101762,9161,1918,Twitter for iPhone
815390420867969024,11467,4407,Twitter for iPhone
814986499976527872,8485,1505,Twitter for iPhone
814638523311648768,12511,3130,Twitter for iPhone
814578408554463233,0,6750,Twitter for iPhone
814530161257443328,9629,2156,Twitter for iPhone
814153002265309185,32000,10080,Twitter for iPhone
813944609378369540,0,3732,Twitter for iPhone
813910438903693312,10342,2194,Twitter for iPhone
813812741911748608,40402,16267,Twitter for iPhone
813800681631023104,9300,2060,Twitter for iPhone
813217897535406080,20783,8476,Twitter for iPhone
813202720496779264,10192,2090,Twitter for iPhone
813187593374461952,22085,5096,Twitter for iPhone
813172488309972993,10384,2236,Twitter for iPhone
813157409116065792,8588,2557,Twitter for iPhone
813142292504645637,9361,2728,Twitter for iPhone
813130366689148928,4968,513,Twitter for iPhone
813127251579564032,13242,3652,Twitter for iPhone
813112105746448384,11515,3225,Twitter for iPhone
813096984823349248,11694,4207,Twitter for iPhone
813081950185472002,10989,3220,Twitter for iPhone
813066809284972545,8865,2276,Twitter for iPhone
813051746834595840,23337,8503,Twitter for iPhone
812781120811126785,8380,2191,Twitter for iPhone
812747805718642688,0,8067,Twitter for iPhone
812709060537683968,7373,1665,Twitter for iPhone
812503143955202048,6787,1424,Twitter for iPhone
812466873996607488,8900,2231,Twitter for iPhone
812372279581671427,15224,4252,Twitter for iPhone
811985624773361665,8102,1647,Twitter for iPhone
811744202451197953,8429,1884,Twitter for iPhone
811647686436880384,6215,872,Twitter for iPhone
811627233043480576,14265,3650,Twitter for iPhone
811386762094317568,23302,7444,Twitter for iPhone
810984652412424192,5927,1655,Twitter for iPhone
810896069567610880,10093,2090,Twitter for iPhone
810657578271330305,12192,3057,Twitter for iPhone
810284430598270976,39640,13369,Twitter for iPhone
810254108431155201,16380,3901,Twitter for iPhone
809920764300447744,17250,4521,Twitter for iPhone
809808892968534016,0,5711,Twitter for iPhone
809448704142938112,7727,1696,Twitter for iPhone
809220051211603969,22246,6554,Twitter for iPhone
809084759137812480,14685,4046,Twitter for iPhone
808838249661788160,11271,3536,Twitter for iPhone
808733504066486276,8784,2509,Twitter for iPhone
808501579447930884,12595,3007,Twitter for iPhone
808344865868283904,47281,24069,Vine - Make a Scene
808134635716833280,0,6961,Twitter for iPhone
808106460588765185,9701,2525,Twitter for iPhone
808001312164028416,14015,4098,Twitter for iPhone
807621403335917568,16236,4288,Twitter for iPhone
807106840509214720,107015,56625,Twitter for iPhone
807059379405148160,0,8521,Twitter for iPhone
807010152071229440,14514,4418,Twitter for iPhone
806629075125202948,75639,37911,Twitter for iPhone
806620845233815552,0,6426,Twitter for iPhone
806576416489959424,5370,2230,Twitter for iPhone
806542213899489280,11363,2752,Twitter for iPhone
806242860592926720,0,13616,Twitter for iPhone
806219024703037440,7145,1388,Twitter for iPhone
805958939288408065,0,6238,Twitter for iPhone
805932879469572096,9178,2209,Twitter for iPhone
805826884734976000,7335,2132,Twitter for iPhone
